epoch,train_loss,train_acc,valid_acc
1,1.3702666161916195,0.5023036858974359,
2,0.8607196648915608,0.6959134615384616,
3,0.6744636815327865,0.7650240384615384,
4,0.5688899404727495,0.8006810897435898,
5,0.4979846501961733,0.8259014423076924,
6,0.44418455767325865,0.8435096153846153,
7,0.3952640629349611,0.8621594551282051,
8,0.3630189721783002,0.8730969551282052,
9,0.3316862505597946,0.8848557692307693,
10,0.29996558943620094,0.8962940705128205,
11,0.26402944683646545,0.9067708333333333,
12,0.24061125442385672,0.9173477564102565,
13,0.22919190772450887,0.9206530448717949,
14,0.2125096453497043,0.9261217948717949,
15,0.19764124523752774,0.9307491987179487,
16,0.18692051189450118,0.9340344551282052,
17,0.17088419470267419,0.940224358974359,
18,0.1574203254798284,0.9456730769230769,
19,0.15037347639027315,0.9470953525641026,
20,0.1406626233114646,0.9507011217948718,
21,0.11883325475530747,0.9589543269230769,
22,0.11205385267161407,0.96171875,
23,0.10398382817705472,0.9640024038461539,
24,0.10169691151628892,0.9654246794871795,
25,0.09229161663888356,0.9682892628205129,
26,0.09130280107641832,0.9681290064102565,
27,0.09101615909200449,0.9678485576923077,
28,0.08422443955563581,0.9712740384615385,
29,0.08088454130607156,0.9725160256410257,
30,0.07733410570579462,0.9741386217948718,
31,0.06411547535696091,0.9777844551282051,
32,0.06137960398665224,0.9793870192307692,
33,0.05932436761661218,0.9799879807692308,
34,0.056196346819305264,0.9809294871794871,
35,0.0567644765552802,0.9810496794871795,
36,0.05435005437869292,0.9816306089743589,
37,0.0480436791988233,0.9839342948717948,
38,0.04655055999517059,0.9842147435897436,
39,0.045695462468295145,0.9846554487179487,
40,0.04856820313904721,0.9830328525641026,
41,0.04303941066520145,0.9859775641025641,
42,0.03867975107322519,0.9872195512820513,
43,0.03397591904056473,0.9885416666666667,
44,0.03478158515078039,0.9884815705128205,
45,0.03484384916627254,0.9885216346153847,
46,0.03343026740595889,0.9888020833333333,
47,0.03476328760839235,0.9881009615384615,
48,0.030235758841109392,0.9901842948717948,
49,0.031024827948437098,0.9896033653846154,
50,0.03087747674435377,0.9897636217948718,
51,0.02671251136194676,0.9914663461538461,
52,0.024928798750401115,0.9918870192307693,
53,0.025704189855605363,0.991426282051282,
54,0.02425129908340004,0.9920472756410257,
55,0.025607665987888304,0.9911658653846154,
56,0.024872883545975083,0.9915464743589744,
57,0.019705561343401384,0.9940104166666667,
58,0.018398644589783193,0.9940905448717948,
59,0.02091410665993746,0.9927684294871795,
60,0.022785962558685778,0.9930088141025641,
61,0.019051124832222762,0.9939903846153846,
62,0.01656487633426411,0.9946314102564102,
63,0.01678798931086651,0.9945512820512821,
64,0.016381424840671035,0.9944511217948718,
65,0.01853646501325644,0.9938701923076924,
66,0.01875296202727044,0.99375,
67,0.01533052808790205,0.9951722756410256,
68,0.015580542545425347,0.9950120192307692,
69,0.017394217197598223,0.9940705128205128,
70,0.014931820722398324,0.9953725961538461,
71,0.014642584911780433,0.9949719551282051,
72,0.013895283473763042,0.9955528846153846,
73,0.01337398978156181,0.9954126602564103,
74,0.012838863462914164,0.995713141025641,
75,0.013417075478579276,0.9954126602564103,
76,0.013212406408908861,0.9954527243589744,
